URL,positive_score,negative_score,polarity_score,subjectivity_score,average_sentence_length,percentage_complex_words,fog_index,word_count,avg_words_per_sentence,complex_words,syllable_count_per_word,personal_pronouns,average_word_length
https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,81,24,0.5428571376870749,0.12152777763712062,144.83333333333334,64.35185185185185,83.67407407407408,864,144.83333333333334,556,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",7.746527777777778
https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,38,13,0.49019606881968497,0.17708333271846066,288.0,73.26388888888889,144.50555555555556,288,288.0,211,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",8.097222222222221
https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,0,0,0.0,0.0,,,,0,,0,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",0.0
https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,35,27,0.12903225598335072,0.09281437111854136,334.5,61.227544910179645,158.29101796407187,668,334.5,409,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",7.336826347305389
https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,35,27,0.12903225598335072,0.09281437111854136,334.5,61.227544910179645,158.29101796407187,668,334.5,409,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",7.336826347305389
https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,48,12,0.5999999900000001,0.0959999998464,313.0,64.0,150.8,624,313.0,400,0,"{'I': 1, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",7.256
https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,34,10,0.5454545330578515,0.07457627106004022,197.33333333333334,64.57627118644068,104.76384180790961,590,197.33333333333334,381,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",7.450847457627119
https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,62,6,0.8235293996539794,0.07683615810526988,443.0,63.61581920903955,202.64632768361582,885,443.0,563,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",7.380790960451978
https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,0,0,0.0,0.0,,,,0,,0,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",0.0
https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,22,46,-0.3529411712802769,0.1249999997702206,272.5,64.70588235294117,134.88235294117646,544,272.5,352,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",7.430147058823529
https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,13,10,0.1304347769376184,0.12568305942249694,92.0,55.73770491803278,59.09508196721312,182,92.0,102,0,"{'I': 1, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",7.191256830601093
https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,30,16,0.3043478194706996,0.06764705872404844,340.5,47.35294117647059,155.14117647058825,680,340.5,322,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",6.895588235294118
https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,23,3,0.7692307396449716,0.08666666637777778,300.0,55.333333333333336,142.13333333333333,300,300.0,166,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",7.033333333333333
https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,19,11,0.26666665777777804,0.05736137656336257,523.0,44.168260038240916,226.86730401529636,523,523.0,231,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",6.292543021032505
https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,23,14,0.24324323666910172,0.07459677404315167,496.0,53.83064516129033,219.93225806451616,496,496.0,267,0,"{'I': 1, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",6.866935483870968
https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,27,26,0.01886792417230332,0.08803986696338893,602.0,45.348837209302324,258.93953488372097,602,602.0,273,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",6.383720930232558
https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,35,26,0.14754098118785278,0.10356536484963436,197.0,58.23429541595926,102.09371816638371,588,197.0,343,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",7.179966044142614
https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0,0,0.0,0.0,,,,0,,0,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",0.0
https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,60,38,0.22448979362765517,0.15360501543322097,319.5,48.90282131661442,147.36112852664579,638,319.5,312,0,"{'I': 1, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",6.644200626959248
https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,66,38,0.26923076664201184,0.11724915432102688,887.0,64.59977452085683,380.63990980834274,887,887.0,573,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",7.431792559188275
https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,69,28,0.42268040801360407,0.13233287840063726,367.0,49.5225102319236,166.60900409276945,733,367.0,363,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",6.639836289222374
https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,62,26,0.40909090444214885,0.10126582266827869,125.0,53.39470655926352,71.35788262370541,869,125.0,464,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",6.905638665132336
https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,45,24,0.3043478216761185,0.11256117436776318,205.0,53.67047308319739,103.46818923327896,613,205.0,329,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",6.8890701468189235
https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,26,12,0.36842104293628836,0.10584958187785631,180.0,52.64623955431755,93.05849582172704,359,180.0,189,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",6.935933147632312
https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0.0,0.0,,,,0,,0,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",0.0
https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,38,13,0.49019606881968497,0.14166666627314814,180.5,51.94444444444445,92.97777777777779,359,180.5,187,0,"{'I': 0, 'we': 0, 'my': 0, 'ours': 0, 'us': 0}",6.444444444444445
